Mass	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
1.8125	3.619953642397533e-11	3.4318266978194956e-11	3.309345159019372e-11	3.23794949186329e-11	3.20251082597256e-11	3.242104848477645e-11	3.2009207784344795e-11	3.1586754045687115e-11	3.219520830488598e-11	3.1921246895771915e-11	3.183774771597925e-11	3.108780594063276e-11	3.126986863888348e-11	3.1518454512990957e-11	3.093256900621455e-11	3.1106298092886675e-11	3.144914537123178e-11	3.103134416093667e-11	3.106837703770182e-11	3.1521011495394546e-11	3.045170365867378e-11
1.84375	3.6749613768760625e-11	3.465078224351714e-11	3.3407984711963934e-11	3.277275326118989e-11	3.2629322854749176e-11	3.2784764486537554e-11	3.2368156765993916e-11	3.197267103849377e-11	3.235590961825352e-11	3.2519442000333854e-11	3.2192744997550093e-11	3.1412625972615515e-11	3.1702741126737877e-11	3.1680769119191154e-11	3.1348548756859884e-11	3.142517149279378e-11	3.1723127597027556e-11	3.178720481278319e-11	3.1728914634543415e-11	3.2073954603362154e-11	3.106388063445209e-11
1.875	3.75976610955675e-11	3.538771012334685e-11	3.3990293218932877e-11	3.365181050485333e-11	3.37652336646066e-11	3.3534678506308424e-11	3.324545846949967e-11	3.288293248804308e-11	3.290837741198871e-11	3.337673887271464e-11	3.2951526923730157e-11	3.2103472658029375e-11	3.256051678279803e-11	3.230885003979722e-11	3.210761517769001e-11	3.218673244598236e-11	3.234337103696916e-11	3.2745962191826905e-11	3.271565310325464e-11	3.3069942617647285e-11	3.19865765818772e-11
1.90625	3.871924655896031e-11	3.6449149254380586e-11	3.500098474940039e-11	3.4994621783690505e-11	3.524916816766144e-11	3.464387110518885e-11	3.456869512863392e-11	3.426506994808065e-11	3.385888097673373e-11	3.4577781610201086e-11	3.420222091654601e-11	3.325535333220664e-11	3.3763651596796507e-11	3.350396696188973e-11	3.324159350559519e-11	3.342974508324659e-11	3.340039703148001e-11	3.381525268131291e-11	3.400578429957335e-11	3.446322394129453e-11	3.321795269406458e-11
1.9375	4.0272719187273154e-11	3.779444465723536e-11	3.6530500846509995e-11	3.669994516619646e-11	3.691586619725129e-11	3.6179205464836883e-11	3.622379132761644e-11	3.5994603131417335e-11	3.5240727003227335e-11	3.6217601834254154e-11	3.5967232664413373e-11	3.492124645010364e-11	3.530075884383699e-11	3.5177454699164556e-11	3.4801172360543475e-11	3.5066029940855614e-11	3.495952138887759e-11	3.5167913720046684e-11	3.553541835787932e-11	3.6137225156718245e-11	3.476363294452334e-11
1.96875	4.234697661975595e-11	3.950548568831813e-11	3.852467997389475e-11	3.86798058860105e-11	3.8795088669330013e-11	3.8210247466086145e-11	3.813660845453093e-11	3.790799618652585e-11	3.703667580956527e-11	3.819003099869711e-11	3.8063874968630174e-11	3.70012111228224e-11	3.72038476414982e-11	3.7154914561687846e-11	3.678181717536866e-11	3.694587344393874e-11	3.704488452105359e-11	3.704062057074964e-11	3.722607985756632e-11	3.800893627614599e-11	3.657361566378192e-11
2.0	4.4805402443781617e-11	4.160061531366388e-11	4.082472207511678e-11	4.086345151144144e-11	4.094840785895393e-11	4.060239297554169e-11	4.023619631920994e-11	3.990916278007184e-11	3.9107793392556545e-11	4.023117256002351e-11	4.0208572582578483e-11	3.9288509945389904e-11	3.937569367784555e-11	3.931914863142261e-11	3.9045905397827596e-11	3.8947945563139186e-11	3.947109999957732e-11	3.938113377066621e-11	3.9117084571493876e-11	4.0071619633597066e-11	3.862224776107759e-11
2.03125	4.736559755524894e-11	4.385822607866352e-11	4.312033369258117e-11	4.3024458995510884e-11	4.3134513322273804e-11	4.2967452512643334e-11	4.2341925104993905e-11	4.194035049809308e-11	4.127290523237015e-11	4.213105905814807e-11	4.22004653444219e-11	4.149983481860353e-11	4.158818428523503e-11	4.1582615822877145e-11	4.127531996744871e-11	4.093123756598871e-11	4.183322091511066e-11	4.176929288557396e-11	4.1243185949779715e-11	4.220577706770534e-11	4.085047231039418e-11
2.0625	4.9693655440608e-11	4.5902649736806467e-11	4.500947878294248e-11	4.4797495574178114e-11	4.487354585136494e-11	4.484682417094099e-11	4.417392493460959e-11	4.3797104831710953e-11	4.33189387138988e-11	4.376186565901996e-11	4.387626720281368e-11	4.3269055005623613e-11	4.357390490095092e-11	4.369727496511544e-11	4.305253376024609e-11	4.265325245778051e-11	4.373126513690373e-11	4.371605161201941e-11	4.331033795490491e-11	4.409884957201626e-11	4.296034708528573e-11
2.09375	5.143804479579295e-11	4.7407307246505326e-11	4.623803423475792e-11	4.594102875898898e-11	4.590202176690816e-11	4.5985812380244795e-11	4.548398463422032e-11	4.51018562774852e-11	4.48934570074222e-11	4.494360439366574e-11	4.503200243255456e-11	4.427678709784111e-11	4.501765973885519e-11	4.523741103934498e-11	4.4105087637635876e-11	4.384332480400488e-11	4.4904194945738496e-11	4.496800848352578e-11	4.478488066506081e-11	4.5462023035014454e-11	4.448057547290496e-11
2.125	5.2271811878945584e-11	4.8166262645032987e-11	4.676247930546218e-11	4.640680201228875e-11	4.628442767939944e-11	4.6399991487922065e-11	4.609481199513432e-11	4.5554778699274934e-11	4.563685887526425e-11	4.5425069955529196e-11	4.548280849170361e-11	4.442225060019567e-11	4.562875424718449e-11	4.585751223196155e-11	4.444004886305919e-11	4.434136391395782e-11	4.519655136259182e-11	4.548185092434487e-11	4.535552836082424e-11	4.610304846219826e-11	4.509625312065779e-11
2.15625	5.1978060744417576e-11	4.8034399374730086e-11	4.656160873528492e-11	4.611613521610103e-11	4.603681325043851e-11	4.6118900365321736e-11	4.5809998155954545e-11	4.5139305487884585e-11	4.543814283164416e-11	4.5007660792739657e-11	4.5090767925026753e-11	4.3807263372386274e-11	4.527126243325519e-11	4.5447163393719237e-11	4.416730176037831e-11	4.4064116938580256e-11	4.4545474947588204e-11	4.517735144315971e-11	4.501514438981502e-11	4.5771976486808086e-11	4.4756046091443125e-11
2.1875	5.059113891703326e-11	4.693635757835324e-11	4.556920465970116e-11	4.492295424540771e-11	4.4999115544896995e-11	4.504019726625508e-11	4.450514262677174e-11	4.403157005672398e-11	4.436214590120002e-11	4.369088424382994e-11	4.38297766136575e-11	4.25947194182541e-11	4.3962871537628345e-11	4.408987758219851e-11	4.3333524268884815e-11	4.298663855428764e-11	4.3059871640549474e-11	4.3954968137471795e-11	4.3819305822756505e-11	4.4306263519144906e-11	4.354601748635112e-11
2.21875	4.8502528382510235e-11	4.5050015801129106e-11	4.389617141997704e-11	4.295457045611073e-11	4.3267566612881225e-11	4.320472452024049e-11	4.244506482398158e-11	4.246333840107752e-11	4.256001800984066e-11	4.1827138974603884e-11	4.194487118747148e-11	4.100513678606532e-11	4.1971683073516175e-11	4.211377774288039e-11	4.2037158476393444e-11	4.133772144032655e-11	4.109543608188382e-11	4.20650562993341e-11	4.195702466014417e-11	4.2043001025060533e-11	4.175118931137867e-11
2.25	4.6331244396569105e-11	4.2924493820484244e-11	4.198534922505992e-11	4.075866727459854e-11	4.139880452336264e-11	4.1029062092245994e-11	4.029182543163756e-11	4.072764694940112e-11	4.046189772122233e-11	4.003640821648169e-11	3.986258892418881e-11	3.938002007819463e-11	3.991356550825387e-11	4.006071863127403e-11	4.052721699898676e-11	3.960237346389839e-11	3.917461147140422e-11	4.011863410924299e-11	3.991169200689981e-11	3.976877507860799e-11	3.989543417848296e-11
2.28125	4.4467707294160164e-11	4.105457293568371e-11	4.0222269959144796e-11	3.8818375597271526e-11	3.976210680156633e-11	3.89584441096158e-11	3.84925424867788e-11	3.9031465559613565e-11	3.8556161735536776e-11	3.8623024917194826e-11	3.7820788167941544e-11	3.7899482163705756e-11	3.8278231279109676e-11	3.8250437539577575e-11	3.8941603414111015e-11	3.804539669416407e-11	3.761656958145565e-11	3.8445843730805507e-11	3.809728921222444e-11	3.8006407049318014e-11	3.830178535446649e-11
2.3125	4.255427607513518e-11	3.9144555652459445e-11	3.8309629774024856e-11	3.691036365438549e-11	3.788060837228713e-11	3.684334087816765e-11	3.667146447616787e-11	3.7100322813898856e-11	3.6651865570336284e-11	3.7043347556053874e-11	3.559693512178441e-11	3.611768176203789e-11	3.673314083463275e-11	3.633624304222316e-11	3.693348751832026e-11	3.6260491137474204e-11	3.606110549059238e-11	3.6591504132266195e-11	3.626523734090448e-11	3.6401427011556464e-11	3.6598429148382294e-11
2.34375	3.949356813803817e-11	3.612810398068156e-11	3.5315760732457235e-11	3.40978703605721e-11	3.476047921724401e-11	3.3855002135041445e-11	3.382505039950523e-11	3.411036730849304e-11	3.3781089037177026e-11	3.4193061576592854e-11	3.254016500697787e-11	3.313409616123586e-11	3.4198033294075e-11	3.341553769797834e-11	3.3752868555669835e-11	3.3365650520256196e-11	3.350451860395509e-11	3.360995162737801e-11	3.351325814082706e-11	3.390937183822551e-11	3.38477267047832e-11
2.375	3.4233445939113594e-11	3.111907606601072e-11	3.044375515570685e-11	2.947908930850396e-11	2.975578464181616e-11	2.915040778206368e-11	2.91571870814078e-11	2.93091245717747e-11	2.9073927293454815e-11	2.9297193143706934e-11	2.796666544180315e-11	2.8352816622279065e-11	2.9698157127944214e-11	2.8681475597314154e-11	2.8825853162772752e-11	2.8670876436875936e-11	2.9048574309853414e-11	2.883145111542973e-11	2.899560626323794e-11	2.956490607886053e-11	2.9242316901267884e-11
2.40625	2.676720303740332e-11	2.4241610455111307e-11	2.3772745924577343e-11	2.3059122319923908e-11	2.3119242631430836e-11	2.2715778910664675e-11	2.2801998136867674e-11	2.279535067650773e-11	2.2625786660901426e-11	2.2608743002749954e-11	2.1815280484838162e-11	2.1999799551530863e-11	2.3220403030932424e-11	2.22103117147876e-11	2.2347486708373943e-11	2.2284106851455654e-11	2.27366025312703e-11	2.242742450087043e-11	2.271604779280345e-11	2.3286032824199054e-11	2.2840097868570552e-11
