Mass	Ion Current
7.5625	4.82675206227301e-13
7.59375	4.813168093253939e-13
7.625	4.828797409671404e-13
7.65625	4.88870500071209e-13
7.6875	4.974578149581632e-13
7.71875	5.044182302751943e-13
7.75	5.077994773804162e-13
7.78125	5.041357413991532e-13
7.8125	4.870836806808443e-13
7.84375	4.602617115559426e-13
7.875	4.3679987469895376e-13
7.90625	4.217765188756911e-13
7.9375	4.1297642931238665e-13
7.96875	4.144901652805566e-13
8.0	4.310389122453434e-13
8.03125	4.538866298867822e-13
8.0625	4.688660484170049e-13
8.09375	4.729785356774596e-13
8.125	4.716729936314612e-13
8.15625	4.693350200667135e-13
8.1875	4.671665073015252e-13
8.21875	4.624014387534514e-13
8.25	4.516398919348491e-13
8.28125	4.388433247435458e-13
8.3125	4.3414089597598737e-13
8.34375	4.4074111222626444e-13
8.375	4.5068156563458917e-13
8.40625	4.556945099043475e-13
8.4375	4.541235822715789e-13
8.46875	4.495940566454776e-13
8.5	4.4824387257502707e-13
8.53125	4.5381482859790934e-13
8.5625	4.643680730741229e-13
8.59375	4.742750246353178e-13
8.625	4.767714001374657e-13
8.65625	4.677278529763296e-13
8.6875	4.518129306015778e-13
8.71875	4.40312445792318e-13
8.75	4.3806806598011006e-13
8.78125	4.3746083144835524e-13
8.8125	4.2835095821931735e-13
8.84375	4.1211424463977187e-13
8.875	4.036663039420907e-13
8.90625	4.134959518883874e-13
8.9375	4.3241259639788254e-13
8.96875	4.4686281584771503e-13
9.0	4.585482926526552e-13
9.03125	4.725848618686301e-13
9.0625	4.809557700019562e-13
9.09375	4.771048465156136e-13
9.125	4.723345195870032e-13
9.15625	4.780277736149419e-13
9.1875	4.859381126653961e-13
9.21875	4.822133361018222e-13
9.25	4.671836919059591e-13
9.28125	4.50301552773133e-13
9.3125	4.38017433738655e-13
9.34375	4.3043856239738387e-13
9.375	4.2284600300368513e-13
9.40625	4.1309146316288736e-13
9.4375	4.0702578568869996e-13
9.46875	4.124501846829165e-13
9.5	4.2770293058082276e-13
9.53125	4.408012854468374e-13
9.5625	4.4741689736796375e-13
9.59375	4.57551910856141e-13
9.625	4.730313363232597e-13
9.65625	4.791448813233623e-13
9.6875	4.69259776435943e-13
9.71875	4.571954251818278e-13
9.75	4.55271833687404e-13
9.78125	4.573774085164795e-13
9.8125	4.5169090364706455e-13
9.84375	4.3676862257133187e-13
9.875	4.2099207149884355e-13
9.90625	4.132606258068494e-13
9.9375	4.158782964270441e-13
9.96875	4.2291544615283283e-13
10.0	4.236576638550621e-13
10.03125	4.1534069477981717e-13
10.0625	4.126488918360788e-13
10.09375	4.2977774117325396e-13
10.125	4.571100984708532e-13
10.15625	4.76546699237218e-13
10.1875	4.901918714689257e-13
10.21875	5.086228205102017e-13
10.25	5.242832535300168e-13
10.28125	5.21482867738704e-13
10.3125	5.025161601938943e-13
10.34375	4.83534544869213e-13
10.375	4.718151867463827e-13
10.40625	4.631848290331808e-13
10.4375	4.552730805199023e-13
10.46875	4.506789906544295e-13
10.5	4.516664277830207e-13
10.53125	4.568751518600755e-13
10.5625	4.594924159044556e-13
10.59375	4.5226149214538935e-13
10.625	4.4053229488784373e-13
10.65625	4.426983681981439e-13
10.6875	4.679701721618801e-13
10.71875	4.99780338641953e-13
10.75	5.13646796537065e-13
10.78125	5.059680972807623e-13
10.8125	4.927080878708301e-13
10.84375	4.861359253517661e-13
10.875	4.845926719794502e-13
10.90625	4.840401625523516e-13
10.9375	4.903646390851113e-13
10.96875	5.1593798677807e-13
11.0	5.635549535712436e-13
11.03125	6.138759205825961e-13
11.0625	6.443018861490568e-13
11.09375	6.620990648104064e-13
11.125	6.923646226654478e-13
11.15625	7.369636042912908e-13
11.1875	7.756453357203597e-13
11.21875	8.050869541344208e-13
11.25	8.454396579517243e-13
11.28125	9.079015208905694e-13
11.3125	9.875761233096858e-13
11.34375	1.0856757116581295e-12
11.375	1.2147239594403891e-12
11.40625	1.3984019020876759e-12
11.4375	1.6982892956513007e-12
11.46875	2.284845056210738e-12
11.5	3.6044004152885334e-12
11.53125	6.595159314504162e-12
11.5625	1.2627130244191598e-11
11.59375	2.2843223840274263e-11
11.625	3.7244755890508685e-11
11.65625	5.4495824519662506e-11
11.6875	7.276376723375222e-11
11.71875	9.06697217306629e-11
11.75	1.075277436535238e-10
11.78125	1.2307366237251927e-10
11.8125	1.3718491620462459e-10
11.84375	1.4979235907208732e-10
11.875	1.609313515782418e-10
11.90625	1.7073154001678859e-10
11.9375	1.793211273914963e-10
11.96875	1.8671664214764405e-10
12.0	1.9261538197756778e-10
12.03125	1.9628386416226107e-10
12.0625	1.9687304564364183e-10
12.09375	1.9403076367829897e-10
12.125	1.8838611226534852e-10
12.15625	1.8144752367277306e-10
12.1875	1.7464396595556764e-10
12.21875	1.6811321779108823e-10
12.25	1.6047208006852998e-10
12.28125	1.4982627638548962e-10
12.3125	1.3471622428706809e-10
12.34375	1.1424089452205521e-10
12.375	8.869364964692039e-11
12.40625	6.101505412026142e-11
12.4375	3.639737469751658e-11
12.46875	1.9084430216698145e-11
12.5	9.848086755803731e-12
12.53125	6.922604416786937e-12
12.5625	8.483969603234609e-12
12.59375	1.369192606515135e-11
12.625	2.213755047331123e-11
12.65625	3.313359656087478e-11
12.6875	4.5630006717534144e-11
12.71875	5.858153545590383e-11
12.75	7.126002565804868e-11
12.78125	8.32558327834576e-11
12.8125	9.430312086777803e-11
12.84375	1.041828151526758e-10
12.875	1.1278902117828338e-10
12.90625	1.2019209238989248e-10
12.9375	1.2653510184090777e-10
12.96875	1.3188683478659868e-10
13.0	1.3618751959487696e-10
13.03125	1.3919133901030278e-10
13.0625	1.4045485607905306e-10
13.09375	1.3956598376996254e-10
13.125	1.3653507491273587e-10
13.15625	1.3205073146060897e-10
13.1875	1.272565247623092e-10
13.21875	1.2284354089509009e-10
13.25	1.1820970591269742e-10
13.28125	1.1186971488053032e-10
13.3125	1.0254390392372414e-10
13.34375	8.945061358289763e-11
13.375	7.236038157554248e-11
13.40625	5.263361274598921e-11
13.4375	3.379541438364164e-11
13.46875	1.9637754963830467e-11
13.5	1.1592560245077266e-11
13.53125	8.593853059735146e-12
13.5625	8.994165655307196e-12
13.59375	1.1825661977438173e-11
13.625	1.6597509824856083e-11
13.65625	2.2728683518602466e-11
13.6875	2.947761826299633e-11
13.71875	3.622375663314692e-11
13.75	4.262701649992984e-11
13.78125	4.856273716491444e-11
13.8125	5.395831698118414e-11
13.84375	5.866485769390195e-11
13.875	6.25447818536351e-11
13.90625	6.567585364436468e-11
13.9375	6.829477261494077e-11
13.96875	7.052596701084823e-11
14.0	7.22764209593052e-11
14.03125	7.332818380278994e-11
14.0625	7.344601316017219e-11
14.09375	7.247468597482154e-11
14.125	7.047646494173776e-11
14.15625	6.784608985732632e-11
14.1875	6.516680944868014e-11
14.21875	6.272367347737173e-11
14.25	6.012621650564043e-11
