Mass	Ion Current
15.71875	1.4399255225672203e-11
15.75	1.7259509793587924e-11
15.78125	1.9903838993640122e-11
15.8125	2.2227169757527143e-11
15.84375	2.4228985137653147e-11
15.875	2.5971983244610364e-11
15.90625	2.749034506976944e-11
15.9375	2.875477807251503e-11
15.96875	2.970074533537037e-11
16.0	3.028256811976604e-11
16.03125	3.051361247008444e-11
16.0625	3.042151253129788e-11
16.09375	2.9960908753956517e-11
16.125	2.906944476799289e-11
16.15625	2.7888507475593016e-11
16.1875	2.6758322987929795e-11
16.21875	2.580481661684786e-11
16.25	2.4726914960027102e-11
16.28125	2.3129638829222365e-11
16.3125	2.0819297674723458e-11
16.34375	1.7724467726853987e-11
16.375	1.38808391864087e-11
16.40625	9.691128108335612e-12
16.4375	5.960870252258443e-12
16.46875	3.404262765779875e-12
16.5	2.191401357251599e-12
16.53125	2.1055711427880874e-12
16.5625	2.966347870461683e-12
16.59375	4.743101311016629e-12
16.625	7.399308596389709e-12
16.65625	1.0782181571189486e-11
16.6875	1.4638623646590077e-11
16.71875	1.8721581576675028e-11
16.75	2.2891976508843115e-11
16.78125	2.7046222900173333e-11
16.8125	3.0990345706305433e-11
16.84375	3.4527894432478945e-11
16.875	3.758134081710551e-11
16.90625	4.0143756374622086e-11
16.9375	4.224403118979758e-11
16.96875	4.391692218219667e-11
17.0	4.512110823862159e-11
17.03125	4.578690551704234e-11
17.0625	4.58664772828854e-11
17.09375	4.525776975405904e-11
17.125	4.392860034063695e-11
17.15625	4.2172803443873974e-11
17.1875	4.0430207792763184e-11
17.21875	3.880161469904664e-11
17.25	3.696873362990516e-11
17.28125	3.453970789935035e-11
17.3125	3.123840075502926e-11
17.34375	2.6841103992203408e-11
17.375	2.1311367601195563e-11
17.40625	1.5198167377383776e-11
17.4375	9.702681366685617e-12
17.46875	6.082148239910934e-12
17.5	5.0922582123247295e-12
17.53125	7.225986736053569e-12
17.5625	1.3208711902024106e-11
17.59375	2.382399312550465e-11
17.625	3.926388381092494e-11
17.65625	5.875155917323127e-11
17.6875	8.065870193973979e-11
17.71875	1.0311644593752334e-10
17.75	1.249643721834559e-10
17.78125	1.4600030906475325e-10
17.8125	1.6608837916098906e-10
17.84375	1.8460270811981871e-10
17.875	2.0091363295282605e-10
17.90625	2.1481368073228424e-10
17.9375	2.2640861407907664e-10
17.96875	2.3587320985285487e-10
18.0	2.4314486535281787e-10
18.03125	2.476818750096754e-10
18.0625	2.4852195301683366e-10
18.09375	2.4476479176804844e-10
18.125	2.367074314335582e-10
18.15625	2.2655638476365425e-10
18.1875	2.1687696083461105e-10
18.21875	2.0799610644939293e-10
18.25	1.9773381543242152e-10
18.28125	1.836428092927278e-10
18.3125	1.6455083129418568e-10
18.34375	1.4002862758211165e-10
18.375	1.101223487398606e-10
18.40625	7.706145443986401e-11
18.4375	4.625321653461967e-11
18.46875	2.340262532374293e-11
18.5	1.0374584004380072e-11
18.53125	4.8340663069690315e-12
18.5625	3.2821707591362825e-12
18.59375	3.400859021479574e-12
18.625	4.223102336581297e-12
18.65625	5.411146791062249e-12
18.6875	6.777748501329839e-12
18.71875	8.197845180468732e-12
18.75	9.631058103809487e-12
18.78125	1.107657715548882e-11
18.8125	1.2500755638966687e-11
18.84375	1.3833235772142682e-11
18.875	1.5048727888822278e-11
18.90625	1.6217811815710803e-11
18.9375	1.741705217550571e-11
18.96875	1.861038406714144e-11
19.0	1.9690549538098345e-11
19.03125	2.0620944188309842e-11
19.0625	2.146827160487419e-11
19.09375	2.232714881034159e-11
19.125	2.3289571660090047e-11
19.15625	2.4474569940147184e-11
19.1875	2.6009366535517664e-11
19.21875	2.7970495711238108e-11
19.25	3.0419694541095055e-11
19.28125	3.347999655289868e-11
19.3125	3.733267514571814e-11
19.34375	4.228229572023068e-11
19.375	4.909270559516621e-11
19.40625	6.0053531591997e-11
19.4375	8.271869300635615e-11
19.46875	1.400484311853134e-10
19.5	2.8586863431989684e-10
19.53125	6.084573955789097e-10
19.5625	1.2014501615809081e-09
19.59375	2.1163890639996907e-09
19.625	3.340987042577126e-09
19.65625	4.820890353585128e-09
19.6875	6.505137761791957e-09
19.71875	8.373875814982057e-09
19.75	1.0394650473699585e-08
19.78125	1.244131908606505e-08
19.8125	1.4320892027797072e-08
19.84375	1.5909348505260823e-08
19.875	1.720743902922095e-08
19.90625	1.827135598375662e-08
19.9375	1.9145049989788276e-08
19.96875	1.9841051468461046e-08
20.0	2.033264756562403e-08
20.03125	2.0556131019588975e-08
20.0625	2.0438635672803684e-08
20.09375	1.9953834140551407e-08
20.125	1.9194793310362e-08
20.15625	1.8370949206314435e-08
20.1875	1.763731560799897e-08
20.21875	1.6914952993829502e-08
20.25	1.5964781496791147e-08
20.28125	1.461577792127855e-08
20.3125	1.281207939740625e-08
20.34375	1.0506751912942036e-08
20.375	7.744533903064621e-09
20.40625	4.893726313071056e-09
20.4375	2.5487074672980725e-09
20.46875	1.0716826315260164e-09
20.5	3.6634176248107053e-10
20.53125	1.0736841971059619e-10
20.5625	3.080306495983898e-11
20.59375	1.0524901263020414e-11
20.625	4.746355652257561e-12
20.65625	2.6822029840223305e-12
20.6875	1.7576809148781014e-12
20.71875	1.2719403438485322e-12
20.75	9.943093440614725e-13
20.78125	8.291393288097082e-13
20.8125	7.234923922981584e-13
20.84375	6.457597586002894e-13
20.875	5.814043365671984e-13
20.90625	5.300215019481136e-13
20.9375	4.953117451779454e-13
20.96875	4.747585245941377e-13
21.0	4.596861628326787e-13
21.03125	4.422454698456424e-13
21.0625	4.228271920959925e-13
21.09375	4.1062514716597165e-13
21.125	4.122172980562666e-13
21.15625	4.2303722916185726e-13
21.1875	4.3699972026439715e-13
21.21875	4.554826567998438e-13
21.25	4.766492105526265e-13
21.28125	4.885797170485484e-13
21.3125	4.871120867777634e-13
21.34375	4.879240457847378e-13
21.375	5.041552028281493e-13
21.40625	5.228129669639092e-13
21.4375	5.205801067997839e-13
21.46875	4.952162811766581e-13
21.5	4.653885241588662e-13
21.53125	4.4657859224819796e-13
21.5625	4.413406218175403e-13
21.59375	4.470808760096562e-13
21.625	4.604426648985305e-13
21.65625	4.75992238246209e-13
21.6875	4.929052500358966e-13
21.71875	5.206776849953076e-13
21.75	5.625328219731329e-13
21.78125	6.015337425217815e-13
21.8125	6.217952043009733e-13
21.84375	6.308582128911056e-13
21.875	6.460295623109125e-13
21.90625	6.716016089612642e-13
21.9375	7.000950925754867e-13
21.96875	7.236612025764144e-13
22.0	7.344462494771054e-13
22.03125	7.256525567066185e-13
22.0625	7.029431832623889e-13
22.09375	6.816083071223278e-13
22.125	6.681431666613613e-13
22.15625	6.584197705279682e-13
22.1875	6.487245094409511e-13
22.21875	6.380241929400399e-13
22.25	6.25007966388591e-13
22.28125	6.091296087321063e-13
22.3125	5.906657541548954e-13
22.34375	5.662828062372172e-13
22.375	5.342353079015871e-13
22.40625	5.027354400832795e-13
22.4375	4.784360841530999e-13
22.46875	4.565293455771613e-13
22.5	4.3589101512281347e-13
22.53125	4.2763340611651213e-13
22.5625	4.3666180155228773e-13
22.59375	4.495945716415095e-13
22.625	4.515201689099524e-13
22.65625	4.428785354941567e-13
22.6875	4.313990571019888e-13
22.71875	4.201590247596143e-13
22.75	4.0965774067251715e-13
22.78125	4.0056770834323574e-13
22.8125	3.9119074190900605e-13
22.84375	3.801874993211024e-13
22.875	3.7268422397630785e-13
22.90625	3.7599960579955127e-13
22.9375	3.886721402623222e-13
22.96875	4.0129729509015555e-13
23.0	4.0727301088908097e-13
23.03125	4.045198963124885e-13
23.0625	3.9380017259268985e-13
23.09375	3.841995081452221e-13
23.125	3.8892367516633886e-13
23.15625	4.0931963222502754e-13
23.1875	4.3092439339087463e-13
23.21875	4.3859954188506245e-13
23.25	4.3446865029272974e-13
23.28125	4.356154922457306e-13
23.3125	4.502711951123034e-13
23.34375	4.651020779448956e-13
23.375	4.653774110865982e-13
23.40625	4.581848138743294e-13
23.4375	4.583325906304392e-13
23.46875	4.616414130305391e-13
23.5	4.5348878189958863e-13
23.53125	4.3249773337347697e-13
23.5625	4.110694261112019e-13
23.59375	4.0136630455843425e-13
23.625	4.047070296074595e-13
23.65625	4.122956045581744e-13
23.6875	4.1788377229054485e-13
23.71875	4.250093929136084e-13
23.75	4.364717138063967e-13
23.78125	4.444172081122938e-13
23.8125	4.388353016474694e-13
23.84375	4.210116142430026e-13
23.875	4.0268122495322467e-13
23.90625	3.956180543752963e-13
23.9375	4.0470236753811784e-13
23.96875	4.219066502414437e-13
24.0	4.275147943988422e-13
24.03125	4.129138437419799e-13
24.0625	3.966814669711244e-13
24.09375	3.9982248197997783e-13
24.125	4.15582607389553e-13
24.15625	4.2544678717504336e-13
24.1875	4.300395217878006e-13
24.21875	4.40051153068749e-13
24.25	4.5236397635574355e-13
24.28125	4.551731712897078e-13
24.3125	4.459048961232698e-13
24.34375	4.302978871655039e-13
24.375	4.112647993426838e-13
24.40625	3.904152663051358e-13
24.4375	3.724774937270692e-13
24.46875	3.604312757542888e-13
24.5	3.55190513503037e-13
24.53125	3.5928958376160725e-13
24.5625	3.724101376671035e-13
24.59375	3.8653108491715216e-13
24.625	3.936305491628045e-13
24.65625	3.978885634598611e-13
24.6875	4.099106037241951e-13
24.71875	4.2986146868602415e-13
24.75	4.511382857997487e-13
