Mass	Ion Current
8.125	4.798471190704812e-13
8.15625	4.609583114517646e-13
8.1875	4.4708919726133e-13
8.21875	4.386136907234134e-13
8.25	4.3814195435816494e-13
8.28125	4.459512186610892e-13
8.3125	4.591053015187696e-13
8.34375	4.720071447410212e-13
8.375	4.833568983432512e-13
8.40625	5.001573157373262e-13
8.4375	5.213387230598721e-13
8.46875	5.289511775634359e-13
8.5	5.122569577721559e-13
8.53125	4.882385186248672e-13
8.5625	4.803333837448409e-13
8.59375	4.852959939287416e-13
8.625	4.818024234784501e-13
8.65625	4.63538875252606e-13
8.6875	4.4268443620022746e-13
8.71875	4.30196731102811e-13
8.75	4.281295370306415e-13
8.78125	4.313537645562332e-13
8.8125	4.300500114438194e-13
8.84375	4.2173751470253595e-13
8.875	4.199276018058973e-13
8.90625	4.368747659640182e-13
8.9375	4.619791420072683e-13
8.96875	4.743230547915589e-13
9.0	4.71143360870202e-13
9.03125	4.666443555352562e-13
9.0625	4.695757671591139e-13
9.09375	4.751887360161799e-13
9.125	4.751568062622002e-13
9.15625	4.685855653149829e-13
9.1875	4.615410159093669e-13
9.21875	4.578456212246673e-13
9.25	4.568034318863656e-13
9.28125	4.593795504582998e-13
9.3125	4.689167890786772e-13
9.34375	4.826253329273666e-13
9.375	4.875995440745129e-13
9.40625	4.725690325169118e-13
9.4375	4.4191191504727723e-13
9.46875	4.137038747600158e-13
9.5	4.040020000397465e-13
9.53125	4.127947712383867e-13
9.5625	4.273604853246432e-13
9.59375	4.394169490079536e-13
9.625	4.509869311764697e-13
9.65625	4.640844999959093e-13
9.6875	4.761498270319797e-13
9.71875	4.850641372941555e-13
9.75	4.901570143690803e-13
9.78125	4.892672638562301e-13
9.8125	4.79625237095882e-13
9.84375	4.628853181830317e-13
9.875	4.4595891649651387e-13
9.90625	4.3540569912535465e-13
9.9375	4.346927548817825e-13
9.96875	4.431698064077949e-13
10.0	4.51471244286919e-13
10.03125	4.456800325926963e-13
10.0625	4.256737920049075e-13
10.09375	4.103351501898861e-13
10.125	4.146500579959439e-13
10.15625	4.354116622373033e-13
10.1875	4.633514709070918e-13
10.21875	4.894041443805064e-13
10.25	5.031037435612729e-13
10.28125	5.032891421327679e-13
10.3125	5.021041633683498e-13
10.34375	5.061655847064805e-13
10.375	5.064002060566064e-13
10.40625	4.964736846461981e-13
10.4375	4.830743552571015e-13
10.46875	4.702192953585926e-13
10.5	4.545135155829133e-13
10.53125	4.379772911532187e-13
10.5625	4.276000668997082e-13
10.59375	4.23473647641337e-13
10.625	4.2057874652563776e-13
10.65625	4.2062758983350823e-13
10.6875	4.304386166074925e-13
10.71875	4.4808389854447683e-13
10.75	4.632323170883357e-13
10.78125	4.725700082988671e-13
10.8125	4.785849451113822e-13
10.84375	4.772088757140636e-13
10.875	4.676957063819154e-13
10.90625	4.645722283432019e-13
10.9375	4.777825270835256e-13
10.96875	4.920372377766047e-13
11.0	4.853586066042026e-13
11.03125	4.585631462224182e-13
11.0625	4.2990340020504503e-13
11.09375	4.131156950814424e-13
11.125	4.1216867158883064e-13
11.15625	4.2290427887045623e-13
11.1875	4.341753465000181e-13
11.21875	4.369906942813112e-13
11.25	4.345534349026181e-13
11.28125	4.38385710111594e-13
11.3125	4.5443076385209835e-13
11.34375	4.791532838901991e-13
11.375	5.068438615855875e-13
11.40625	5.338801774799895e-13
11.4375	5.634798183606904e-13
11.46875	6.213068796424859e-13
11.5	7.762781845284394e-13
11.53125	1.141695787389152e-12
11.5625	1.834536645858864e-12
11.59375	2.9101567076278423e-12
11.625	4.325147445055633e-12
11.65625	5.963658386565207e-12
11.6875	7.707509977472604e-12
11.71875	9.48095421615669e-12
11.75	1.1230854787824818e-11
11.78125	1.2907119817384682e-11
11.8125	1.4481627702567224e-11
11.84375	1.5939596864633643e-11
11.875	1.7251242101501418e-11
11.90625	1.83944057902119e-11
11.9375	1.938553484404082e-11
11.96875	2.0253439550477204e-11
12.0	2.098321863486241e-11
12.03125	2.1480716511090847e-11
12.0625	2.161189803506769e-11
12.09375	2.132579182689831e-11
12.125	2.0741828393733286e-11
12.15625	2.0083946658533414e-11
12.1875	1.9494785993834363e-11
12.21875	1.8900851370129423e-11
12.25	1.8101808246795414e-11
12.28125	1.696570488263216e-11
12.3125	1.542090413697572e-11
12.34375	1.3322376188340534e-11
12.375	1.0574477925240355e-11
12.40625	7.452766702387148e-12
12.4375	4.598266645922111e-12
12.46875	2.5648433030212026e-12
12.5	1.4593109706750873e-12
12.53125	1.044888134349442e-12
12.5625	1.0574367987140065e-12
12.59375	1.3656033769071652e-12
12.625	1.930283840753666e-12
12.65625	2.705502488709044e-12
12.6875	3.5944918916341884e-12
12.71875	4.49639197402929e-12
12.75	5.369763661500215e-12
12.78125	6.2118791013809904e-12
12.8125	6.9977556735323354e-12
12.84375	7.694616645237407e-12
12.875	8.316243527151101e-12
12.90625	8.902483784878346e-12
12.9375	9.45236684063433e-12
12.96875	9.932724781558377e-12
13.0	1.0335059197341678e-11
13.03125	1.06616868111864e-11
13.0625	1.087865648258246e-11
13.09375	1.0931651417411814e-11
13.125	1.0807910122423436e-11
13.15625	1.0569585137676363e-11
13.1875	1.0317012001659354e-11
13.21875	1.0094275242067408e-11
13.25	9.831179273445123e-12
13.28125	9.412570549371946e-12
13.3125	8.764993938981114e-12
13.34375	7.834267089223967e-12
13.375	6.588606830254529e-12
13.40625	5.140420207550012e-12
13.4375	3.8017432084369585e-12
13.46875	2.9582629748614586e-12
13.5	2.9606276197996495e-12
13.53125	4.253270045190272e-12
13.5625	7.556497962080133e-12
13.59375	1.3644870823503741e-11
13.625	2.270017160355131e-11
13.65625	3.3941079113919415e-11
13.6875	4.609480505624042e-11
13.71875	5.8190962465287654e-11
13.75	6.981076133838471e-11
